Incident_ID,Audio_Event,PDF_Doc_Type,Image_Objects,Video_Event,Text_Crime_Type,Severity
INC_100,Unknown incident,N/A,N/A,N/A,N/A,Low
INC_101,Shooting,N/A,N/A,N/A,N/A,High
INC_102,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_103,Shooting,N/A,N/A,N/A,N/A,Medium
INC_104,Building fire / trapped persons,N/A,N/A,N/A,N/A,High
INC_105,Building fire / trapped persons,N/A,N/A,N/A,N/A,High
INC_106,Building fire / trapped persons,N/A,N/A,N/A,N/A,High
INC_107,Medical emergency,N/A,N/A,N/A,N/A,Medium
INC_108,Shooting,N/A,N/A,N/A,N/A,Medium
INC_109,Road accident,N/A,N/A,N/A,N/A,Medium
INC_110,Domestic disturbance,N/A,N/A,N/A,N/A,Medium
INC_111,Shooting,N/A,N/A,N/A,N/A,High
INC_112,Road accident,N/A,N/A,N/A,N/A,Medium
INC_113,Murder / homicide,N/A,N/A,N/A,N/A,Medium
INC_114,Shooting,N/A,N/A,N/A,N/A,Medium
INC_115,Road accident,N/A,N/A,N/A,N/A,Low
INC_116,Unknown incident,N/A,N/A,N/A,N/A,Medium
INC_117,Kidnapping / missing,N/A,N/A,N/A,N/A,Medium
INC_118,Unknown incident,N/A,N/A,N/A,N/A,Medium
INC_119,Shooting,N/A,N/A,N/A,N/A,High
INC_120,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_121,Public disturbance,N/A,N/A,N/A,N/A,High
INC_122,Robbery / theft,N/A,N/A,N/A,N/A,Medium
INC_123,Shooting,N/A,N/A,N/A,N/A,Medium
INC_124,Medical emergency,N/A,N/A,N/A,N/A,Medium
INC_125,Unknown incident,N/A,N/A,N/A,N/A,Low
INC_126,Unknown incident,N/A,N/A,N/A,N/A,Medium
INC_127,Unknown incident,N/A,N/A,N/A,N/A,Medium
INC_128,Shooting,N/A,N/A,N/A,N/A,High
INC_129,Shooting,N/A,N/A,N/A,N/A,Medium
INC_130,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_131,Building fire / trapped persons,N/A,N/A,N/A,N/A,High
INC_132,Building fire / trapped persons,N/A,N/A,N/A,N/A,High
INC_133,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_134,Shooting,N/A,N/A,N/A,N/A,High
INC_135,Unknown incident,N/A,N/A,N/A,N/A,Medium
INC_136,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_137,Murder / homicide,N/A,N/A,N/A,N/A,Medium
INC_138,Shooting,N/A,N/A,N/A,N/A,High
INC_139,Road accident,N/A,N/A,N/A,N/A,Medium
INC_140,Road accident,N/A,N/A,N/A,N/A,Medium
INC_141,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_142,Assault / violence,N/A,N/A,N/A,N/A,Low
INC_143,Kidnapping / missing,N/A,N/A,N/A,N/A,Low
INC_144,Road accident,N/A,N/A,N/A,N/A,Medium
INC_145,Shooting,N/A,N/A,N/A,N/A,High
INC_146,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_147,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_148,Unknown incident,N/A,N/A,N/A,N/A,Low
INC_149,Shooting,N/A,N/A,N/A,N/A,High
INC_150,Shooting,N/A,N/A,N/A,N/A,High
INC_151,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_152,Road accident,N/A,N/A,N/A,N/A,Medium
INC_153,Shooting,N/A,N/A,N/A,N/A,High
INC_154,Shooting,N/A,N/A,N/A,N/A,High
INC_155,Murder / homicide,N/A,N/A,N/A,N/A,Medium
INC_156,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_157,Assault / violence,N/A,N/A,N/A,N/A,High
INC_158,Murder / homicide,N/A,N/A,N/A,N/A,Medium
INC_159,Road accident,N/A,N/A,N/A,N/A,Low
INC_160,Unknown incident,N/A,N/A,N/A,N/A,Medium
INC_161,Assault / violence,N/A,N/A,N/A,N/A,Medium
INC_162,Road accident,N/A,N/A,N/A,N/A,Medium
INC_163,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_164,Shooting,N/A,N/A,N/A,N/A,High
INC_165,Road accident,N/A,N/A,N/A,N/A,Medium
INC_166,Murder / homicide,N/A,N/A,N/A,N/A,Medium
INC_167,Shooting,N/A,N/A,N/A,N/A,Medium
INC_168,Shooting,N/A,N/A,N/A,N/A,Medium
INC_169,Shooting,N/A,N/A,N/A,N/A,High
INC_170,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_171,Shooting,N/A,N/A,N/A,N/A,High
INC_172,Shooting,N/A,N/A,N/A,N/A,High
INC_173,Unknown incident,N/A,N/A,N/A,N/A,Medium
INC_174,Murder / homicide,N/A,N/A,N/A,N/A,Medium
INC_175,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_176,Robbery / theft,N/A,N/A,N/A,N/A,Low
INC_177,Unknown incident,N/A,N/A,N/A,N/A,Low
INC_178,Murder / homicide,N/A,N/A,N/A,N/A,Medium
INC_179,Shooting,N/A,N/A,N/A,N/A,Medium
INC_180,Road accident,N/A,N/A,N/A,N/A,Medium
INC_181,Shooting,N/A,N/A,N/A,N/A,Medium
INC_182,Assault / violence,N/A,N/A,N/A,N/A,Medium
INC_183,Unknown incident,N/A,N/A,N/A,N/A,Medium
INC_184,Murder / homicide,N/A,N/A,N/A,N/A,Medium
INC_185,Shooting,N/A,N/A,N/A,N/A,High
INC_186,Shooting,N/A,N/A,N/A,N/A,High
INC_187,Unknown incident,N/A,N/A,N/A,N/A,Medium
INC_188,Road accident,N/A,N/A,N/A,N/A,Medium
INC_189,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_190,Shooting,N/A,N/A,N/A,N/A,Medium
INC_191,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_192,Road accident,N/A,N/A,N/A,N/A,Medium
INC_193,Road accident,N/A,N/A,N/A,N/A,Medium
INC_194,Kidnapping / missing,N/A,N/A,N/A,N/A,Medium
INC_195,Road accident,N/A,N/A,N/A,N/A,Medium
INC_196,Road accident,N/A,N/A,N/A,N/A,Medium
INC_197,Road accident,N/A,N/A,N/A,N/A,Medium
INC_198,Road accident,N/A,N/A,N/A,N/A,Medium
INC_199,Shooting,N/A,N/A,N/A,N/A,High
INC_200,Shooting,N/A,N/A,N/A,N/A,Medium
INC_201,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_202,Unknown incident,N/A,N/A,N/A,N/A,Low
INC_203,Shooting,N/A,N/A,N/A,N/A,Medium
INC_204,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_205,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_206,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_207,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_208,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_209,Building fire / trapped persons,N/A,N/A,N/A,N/A,High
INC_210,Murder / homicide,N/A,N/A,N/A,N/A,Medium
INC_211,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_212,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_213,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_214,Assault / violence,N/A,N/A,N/A,N/A,Low
INC_215,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_216,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_217,Shooting,N/A,N/A,N/A,N/A,Medium
INC_218,Shooting,N/A,N/A,N/A,N/A,High
INC_219,Assault / violence,N/A,N/A,N/A,N/A,High
INC_220,Assault / violence,N/A,N/A,N/A,N/A,High
INC_221,Unknown incident,N/A,N/A,N/A,N/A,Low
INC_222,Unknown incident,N/A,N/A,N/A,N/A,Low
INC_223,Unknown incident,N/A,N/A,N/A,N/A,Medium
INC_224,Unknown incident,N/A,N/A,N/A,N/A,Medium
INC_225,Road accident,N/A,N/A,N/A,N/A,Low
INC_226,Shooting,N/A,N/A,N/A,N/A,Medium
INC_227,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_228,Assault / violence,N/A,N/A,N/A,N/A,Medium
INC_229,Shooting,N/A,N/A,N/A,N/A,Medium
INC_230,Murder / homicide,N/A,N/A,N/A,N/A,Medium
INC_231,Assault / violence,N/A,N/A,N/A,N/A,Medium
INC_232,Murder / homicide,N/A,N/A,N/A,N/A,Low
INC_233,Unknown incident,N/A,N/A,N/A,N/A,Medium
INC_234,Shooting,N/A,N/A,N/A,N/A,High
INC_235,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_236,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_237,Murder / homicide,N/A,N/A,N/A,N/A,Medium
INC_238,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_239,Shooting,N/A,N/A,N/A,N/A,High
INC_240,Shooting,N/A,N/A,N/A,N/A,High
INC_241,Assault / violence,N/A,N/A,N/A,N/A,Medium
INC_242,Shooting,N/A,N/A,N/A,N/A,Medium
INC_243,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_244,Kidnapping / missing,N/A,N/A,N/A,N/A,Medium
INC_245,Road accident,N/A,N/A,N/A,N/A,Medium
INC_246,Building fire / trapped persons,N/A,N/A,N/A,N/A,High
INC_247,Shooting,N/A,N/A,N/A,N/A,High
INC_248,Road accident,N/A,N/A,N/A,N/A,Medium
INC_249,Road accident,N/A,N/A,N/A,N/A,Low
INC_250,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_251,Medical emergency,N/A,N/A,N/A,N/A,Medium
INC_252,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_253,Shooting,N/A,N/A,N/A,N/A,High
INC_254,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_255,Building fire / trapped persons,N/A,N/A,N/A,N/A,High
INC_256,Building fire / trapped persons,N/A,N/A,N/A,N/A,High
INC_257,Building fire / trapped persons,N/A,N/A,N/A,N/A,High
INC_258,Building fire / trapped persons,N/A,N/A,N/A,N/A,High
INC_259,Building fire / trapped persons,N/A,N/A,N/A,N/A,High
INC_260,Building fire / trapped persons,N/A,N/A,N/A,N/A,High
INC_261,Shooting,N/A,N/A,N/A,N/A,High
INC_262,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_263,Shooting,N/A,N/A,N/A,N/A,Medium
INC_264,Kidnapping / missing,N/A,N/A,N/A,N/A,Medium
INC_265,Shooting,N/A,N/A,N/A,N/A,High
INC_266,Shooting,N/A,N/A,N/A,N/A,High
INC_267,Shooting,N/A,N/A,N/A,N/A,High
INC_268,Shooting,N/A,N/A,N/A,N/A,High
INC_269,Assault / violence,N/A,N/A,N/A,N/A,Medium
INC_270,Shooting,N/A,N/A,N/A,N/A,High
INC_271,Assault / violence,N/A,N/A,N/A,N/A,High
INC_272,Unknown incident,N/A,N/A,N/A,N/A,Medium
INC_273,Unknown incident,N/A,N/A,N/A,N/A,Low
INC_274,Medical emergency,N/A,N/A,N/A,N/A,High
INC_275,Shooting,N/A,N/A,N/A,N/A,Low
INC_276,Murder / homicide,N/A,N/A,N/A,N/A,Medium
INC_277,Road accident,N/A,N/A,N/A,N/A,Medium
INC_278,Shooting,N/A,N/A,N/A,N/A,High
INC_279,Assault / violence,N/A,N/A,N/A,N/A,Medium
INC_280,Unknown incident,N/A,N/A,N/A,N/A,High
INC_281,Building fire / trapped persons,N/A,N/A,N/A,N/A,High
INC_282,Medical emergency,N/A,N/A,N/A,N/A,Low
INC_283,Road accident,N/A,N/A,N/A,N/A,Medium
INC_284,Road accident,N/A,N/A,N/A,N/A,Medium
INC_285,Medical emergency,N/A,N/A,N/A,N/A,Medium
INC_286,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_287,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_288,Road accident,N/A,N/A,N/A,N/A,High
INC_289,Road accident,N/A,N/A,N/A,N/A,High
INC_290,Road accident,N/A,N/A,N/A,N/A,High
INC_291,Shooting,N/A,N/A,N/A,N/A,Medium
INC_292,Shooting,N/A,N/A,N/A,N/A,High
INC_293,Building fire / trapped persons,N/A,N/A,N/A,N/A,Low
INC_294,Public disturbance,N/A,N/A,N/A,N/A,Low
INC_295,Assault / violence,N/A,N/A,N/A,N/A,Medium
INC_296,Assault / violence,N/A,N/A,N/A,N/A,High
INC_297,Shooting,N/A,N/A,N/A,N/A,High
INC_298,Murder / homicide,N/A,N/A,N/A,N/A,Medium
INC_299,Kidnapping / missing,N/A,N/A,N/A,N/A,Medium
INC_300,Shooting,N/A,N/A,N/A,N/A,Medium
INC_301,Shooting,N/A,N/A,N/A,N/A,Medium
INC_302,Assault / violence,N/A,N/A,N/A,N/A,Low
INC_303,Assault / violence,N/A,N/A,N/A,N/A,Medium
INC_304,Road accident,N/A,N/A,N/A,N/A,Medium
INC_305,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_306,Shooting,N/A,N/A,N/A,N/A,High
INC_307,Assault / violence,N/A,N/A,N/A,N/A,High
INC_308,Shooting,N/A,N/A,N/A,N/A,Medium
INC_309,Shooting,N/A,N/A,N/A,N/A,High
INC_310,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_311,Shooting,N/A,N/A,N/A,N/A,High
INC_312,Shooting,N/A,N/A,N/A,N/A,High
INC_313,Shooting,N/A,N/A,N/A,N/A,High
INC_314,Shooting,N/A,N/A,N/A,N/A,High
INC_315,Shooting,N/A,N/A,N/A,N/A,High
INC_316,Shooting,N/A,N/A,N/A,N/A,High
INC_317,Assault / violence,N/A,N/A,N/A,N/A,High
INC_318,Medical emergency,N/A,N/A,N/A,N/A,Medium
INC_319,Shooting,N/A,N/A,N/A,N/A,High
INC_320,Shooting,N/A,N/A,N/A,N/A,High
INC_321,Shooting,N/A,N/A,N/A,N/A,High
INC_322,Robbery / theft,N/A,N/A,N/A,N/A,High
INC_323,Road accident,N/A,N/A,N/A,N/A,Medium
INC_324,Medical emergency,N/A,N/A,N/A,N/A,Medium
INC_325,Shooting,N/A,N/A,N/A,N/A,High
INC_326,Assault / violence,N/A,N/A,N/A,N/A,Medium
INC_327,Shooting,N/A,N/A,N/A,N/A,High
INC_328,Murder / homicide,N/A,N/A,N/A,N/A,Medium
INC_329,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_330,Road accident,N/A,N/A,N/A,N/A,Medium
INC_331,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_332,Building fire / trapped persons,N/A,N/A,N/A,N/A,Medium
INC_333,Shooting,N/A,N/A,N/A,N/A,Medium
INC_334,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_335,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_336,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_337,Unknown incident,N/A,N/A,N/A,N/A,Medium
INC_338,Shooting,N/A,N/A,N/A,N/A,Medium
INC_339,Kidnapping / missing,N/A,N/A,N/A,N/A,Low
INC_340,Unknown incident,N/A,N/A,N/A,N/A,Low
INC_341,Unknown incident,N/A,N/A,N/A,N/A,Medium
INC_342,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_343,Road accident,N/A,N/A,N/A,N/A,High
INC_344,Robbery / theft,N/A,N/A,N/A,N/A,Medium
INC_345,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_346,Robbery / theft,N/A,N/A,N/A,N/A,Medium
INC_347,Road accident,N/A,N/A,N/A,N/A,Medium
INC_348,Unknown incident,N/A,N/A,N/A,N/A,Medium
INC_349,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_350,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_351,Shooting,N/A,N/A,N/A,N/A,Medium
INC_352,Unknown incident,N/A,N/A,N/A,N/A,Low
INC_353,Kidnapping / missing,N/A,N/A,N/A,N/A,High
INC_354,Kidnapping / missing,N/A,N/A,N/A,N/A,Medium
INC_355,Kidnapping / missing,N/A,N/A,N/A,N/A,Medium
INC_356,Medical emergency,N/A,N/A,N/A,N/A,High
INC_357,Medical emergency,N/A,N/A,N/A,N/A,High
INC_358,Building fire / trapped persons,N/A,N/A,N/A,N/A,High
INC_359,Domestic disturbance,N/A,N/A,N/A,N/A,High
INC_360,Assault / violence,N/A,N/A,N/A,N/A,Low
INC_361,Assault / violence,N/A,N/A,N/A,N/A,Low
INC_362,Unknown incident,N/A,N/A,N/A,N/A,Medium
INC_363,Road accident,N/A,N/A,N/A,N/A,High
INC_364,Road accident,N/A,N/A,N/A,N/A,High
INC_365,Unknown incident,N/A,N/A,N/A,N/A,Low
INC_366,Road accident,N/A,N/A,N/A,N/A,Low
INC_367,Assault / violence,N/A,N/A,N/A,N/A,Medium
INC_368,Unknown incident,N/A,N/A,N/A,N/A,Low
INC_369,Unknown incident,N/A,N/A,N/A,N/A,Medium
INC_370,Road accident,N/A,N/A,N/A,N/A,Medium
INC_371,Road accident,N/A,N/A,N/A,N/A,Medium
INC_372,Unknown incident,N/A,N/A,N/A,N/A,Low
INC_373,Assault / violence,N/A,N/A,N/A,N/A,High
INC_374,Unknown incident,N/A,N/A,N/A,N/A,Low
INC_375,Assault / violence,N/A,N/A,N/A,N/A,Low
INC_376,Assault / violence,N/A,N/A,N/A,N/A,High
INC_377,Shooting,N/A,N/A,N/A,N/A,High
INC_378,Unknown incident,N/A,N/A,N/A,N/A,Medium
INC_379,Unknown incident,N/A,N/A,N/A,N/A,Medium
INC_380,Murder / homicide,N/A,N/A,N/A,N/A,Medium
INC_381,Shooting,N/A,N/A,N/A,N/A,High
INC_382,Unknown incident,N/A,N/A,N/A,N/A,Low
INC_383,Building fire / trapped persons,N/A,N/A,N/A,N/A,Medium
INC_384,Building fire / trapped persons,N/A,N/A,N/A,N/A,Medium
INC_385,Shooting,N/A,N/A,N/A,N/A,High
INC_386,Assault / violence,N/A,N/A,N/A,N/A,High
INC_387,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_388,Murder / homicide,N/A,N/A,N/A,N/A,Medium
INC_389,Assault / violence,N/A,N/A,N/A,N/A,Low
INC_390,Public disturbance,N/A,N/A,N/A,N/A,High
INC_391,Building fire / trapped persons,N/A,N/A,N/A,N/A,High
INC_392,Building fire / trapped persons,N/A,N/A,N/A,N/A,High
INC_393,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_394,Road accident,N/A,N/A,N/A,N/A,Medium
INC_395,Shooting,N/A,N/A,N/A,N/A,High
INC_396,Medical emergency,N/A,N/A,N/A,N/A,High
INC_397,Building fire / trapped persons,N/A,N/A,N/A,N/A,Medium
INC_398,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_399,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_400,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_401,Medical emergency,N/A,N/A,N/A,N/A,Medium
INC_402,Building fire / trapped persons,N/A,N/A,N/A,N/A,Medium
INC_403,Road accident,N/A,N/A,N/A,N/A,Medium
INC_404,Unknown incident,N/A,N/A,N/A,N/A,Medium
INC_405,Medical emergency,N/A,N/A,N/A,N/A,Medium
INC_406,Murder / homicide,N/A,N/A,N/A,N/A,Medium
INC_407,Shooting,N/A,N/A,N/A,N/A,High
INC_408,Unknown incident,N/A,N/A,N/A,N/A,High
INC_409,Road accident,N/A,N/A,N/A,N/A,High
INC_410,Unknown incident,N/A,N/A,N/A,N/A,Medium
INC_411,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_412,Robbery / theft,N/A,N/A,N/A,N/A,Medium
INC_413,Shooting,N/A,N/A,N/A,N/A,High
INC_414,Shooting,N/A,N/A,N/A,N/A,High
INC_415,Shooting,N/A,N/A,N/A,N/A,High
INC_416,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_417,Assault / violence,N/A,N/A,N/A,N/A,Medium
INC_418,Shooting,N/A,N/A,N/A,N/A,Medium
INC_419,Shooting,N/A,N/A,N/A,N/A,High
INC_420,Kidnapping / missing,N/A,N/A,N/A,N/A,Low
INC_421,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_422,Shooting,N/A,N/A,N/A,N/A,Medium
INC_423,Shooting,N/A,N/A,N/A,N/A,High
INC_424,Shooting,N/A,N/A,N/A,N/A,High
INC_425,Shooting,N/A,N/A,N/A,N/A,Medium
INC_426,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_427,Kidnapping / missing,N/A,N/A,N/A,N/A,Low
INC_428,Road accident,N/A,N/A,N/A,N/A,Medium
INC_429,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_430,Medical emergency,N/A,N/A,N/A,N/A,Medium
INC_431,Robbery / theft,N/A,N/A,N/A,N/A,Medium
INC_432,Assault / violence,N/A,N/A,N/A,N/A,Medium
INC_433,Shooting,N/A,N/A,N/A,N/A,High
INC_434,Shooting,N/A,N/A,N/A,N/A,High
INC_435,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_436,Murder / homicide,N/A,N/A,N/A,N/A,Medium
INC_437,Shooting,N/A,N/A,N/A,N/A,High
INC_438,Kidnapping / missing,N/A,N/A,N/A,N/A,Low
INC_439,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_440,Shooting,N/A,N/A,N/A,N/A,High
INC_441,Shooting,N/A,N/A,N/A,N/A,High
INC_442,Road accident,N/A,N/A,N/A,N/A,High
INC_443,Unknown incident,N/A,N/A,N/A,N/A,Medium
INC_444,Murder / homicide,N/A,N/A,N/A,N/A,High
INC_445,Shooting,N/A,N/A,N/A,N/A,High
INC_446,Assault / violence,N/A,N/A,N/A,N/A,Medium
INC_447,Shooting,N/A,N/A,N/A,N/A,High
INC_448,Medical emergency,N/A,N/A,N/A,N/A,High
